Date,Open,High,Low,Close,Adj Close,Volume
2012-09-06,35.094997,35.369999,34.754997,35.064999,8.687440,10182310
2012-09-07,36.110001,37.180000,36.099998,37.070000,9.184184,14688910
2012-09-08,37.209999,37.500000,37.099998,37.380001,9.260987,1510110
2012-09-10,37.450001,38.299999,37.450001,37.990002,9.412117,8950170
2012-09-11,37.900002,37.900002,37.430000,37.689999,9.337790,4193830
2012-09-12,38.004997,38.799999,37.660000,38.700001,9.588021,8133650
2012-09-13,38.799999,39.040001,38.254997,38.744999,9.599169,5989850
2012-09-14,39.799999,40.700001,39.799999,40.375000,10.003006,14135410
2012-09-17,40.860001,41.500000,40.424999,41.000000,10.157850,11799290
2012-09-18,40.869999,40.990002,40.310001,40.490002,10.031498,4942870
2012-09-20,40.000000,40.189999,39.250000,39.384998,9.757731,5914470
2012-09-21,39.599998,41.360001,39.599998,40.900002,10.133077,10513000
2012-09-24,41.000000,41.500000,40.509998,40.664997,10.074854,7038600
2012-09-25,40.605000,40.860001,39.709999,40.064999,9.926202,7101370
2012-09-26,39.855000,40.490002,39.419998,39.599998,9.810998,9266030
2012-09-27,39.689999,40.215000,39.299999,39.605000,9.812237,7544600
2012-09-28,40.004997,40.889999,39.930000,40.075001,9.928681,9471620
2012-10-01,40.200001,40.279999,39.310001,39.884998,9.881607,9106750
2012-10-03,39.900002,40.500000,39.750000,40.299999,9.984425,8560660
2012-10-04,40.570000,41.259998,40.570000,40.950001,10.145465,9971700
2012-10-05,41.305000,41.400002,39.900002,41.035000,10.166523,12415720
2012-10-08,40.900002,41.779999,40.584999,40.754997,10.097152,13143970
2012-10-09,41.119999,41.590000,40.830002,41.174999,10.201209,8364270
2012-10-10,41.200001,41.799999,41.000000,41.164997,10.198730,12273910
2012-10-11,41.360001,42.189999,41.014999,42.035000,10.414274,11570940
2012-10-12,42.250000,42.599998,41.904999,42.055000,10.419230,10735010
2012-10-15,42.139999,42.270000,41.625000,41.900002,10.380830,6014490
2012-10-16,42.189999,42.285000,40.650002,40.875000,10.126883,6521910
2012-10-17,41.410000,41.410000,40.450001,40.754997,10.097152,6024580
2012-10-18,41.049999,41.240002,40.599998,41.164997,10.198730,7723520
2012-10-19,41.099998,41.250000,40.500000,40.709999,10.086002,6146860
2012-10-22,40.580002,40.994999,40.310001,40.785000,10.104585,4348900
2012-10-23,40.445000,40.974998,40.404999,40.470001,10.026544,4884670
2012-10-25,40.590000,40.689999,39.834999,39.959999,9.900188,7160850
2012-10-29,40.279999,40.430000,39.939999,40.169998,9.952216,3350850
2012-10-30,40.259998,40.380001,39.209999,39.290001,9.734195,5397950
2012-10-31,39.485001,39.540001,38.864998,39.224998,9.718090,5723950
2012-11-01,39.250000,39.980000,39.204998,39.779999,9.855594,5408250
2012-11-02,40.080002,40.380001,39.860001,40.160000,9.949739,7376350
2012-11-05,39.970001,39.970001,39.599998,39.785000,9.856832,3533650
2012-11-06,39.470001,39.945000,39.360001,39.869999,9.877891,4059270
2012-11-07,39.689999,40.490002,39.689999,40.195000,9.958410,4304410
2012-11-08,39.799999,40.470001,39.680000,40.364998,10.000528,4555300
2012-11-09,40.490002,40.884998,38.540001,39.055000,9.675974,13850020
2012-11-11,null,null,null,null,null,null
2012-11-12,38.500000,38.630001,38.119999,38.384998,9.509979,6883580
2012-11-15,38.494999,38.494999,37.450001,37.575001,9.309299,7833500
2012-11-16,37.599998,37.994999,36.910000,37.004997,9.168080,5793050
2012-11-19,37.294998,37.369999,36.290001,36.410000,9.020668,7649150
2012-11-20,36.825001,36.840000,35.914997,36.125000,8.950058,7574460
2012-11-21,36.250000,36.639999,36.024998,36.434998,9.026861,5549700
2012-11-22,36.735001,36.919998,36.299999,36.590000,9.065264,4898440
2012-11-23,36.650002,36.825001,36.130001,36.434998,9.026861,5067640
2012-11-26,36.700001,37.400002,36.450001,37.150002,9.204005,6608430
2012-11-27,37.500000,37.895000,37.360001,37.605000,9.316732,5040200
2012-11-29,37.599998,38.169998,37.575001,37.695000,9.339030,5829860
2012-11-30,37.700001,38.709999,37.700001,38.540001,9.548381,6475440
2012-12-03,38.610001,39.299999,38.610001,39.064999,9.678451,5021020
2012-12-04,39.099998,39.285000,38.700001,38.934998,9.646243,3730200
2012-12-05,39.439999,39.950001,39.264999,39.764999,9.851876,6427090
2012-12-06,40.000000,40.235001,39.404999,39.965000,9.901428,4281740
2012-12-07,40.189999,40.389999,39.279999,39.490002,9.783746,5689230
2012-12-10,39.450001,40.084999,39.450001,40.024998,9.916292,4549770
2012-12-11,40.150002,40.299999,39.314999,39.610001,9.813476,4553090
2012-12-12,39.810001,40.040001,39.419998,39.524998,9.792417,3426560
2012-12-13,39.689999,39.779999,38.720001,38.820000,9.617751,4158510
2012-12-14,38.900002,40.049999,38.730000,39.724998,9.841968,6339150
2012-12-17,39.900002,40.220001,39.610001,39.895000,9.884085,7507210
2012-12-18,40.200001,41.584999,39.669998,41.395000,10.255714,19373520
2012-12-19,41.700001,42.485001,41.599998,42.334999,10.488601,13028510
2012-12-20,42.400002,43.364998,41.605000,43.139999,10.688041,16039300
2012-12-21,42.790001,43.625000,42.520000,42.954998,10.642208,12929550
2012-12-24,43.000000,43.549999,42.684998,42.844997,10.614955,9635060
2012-12-26,42.830002,43.349998,42.799999,42.974998,10.647161,4212100
2012-12-27,43.349998,43.674999,43.000000,43.090000,10.675653,7332090
2012-12-28,43.250000,43.375000,42.650002,42.834999,10.612477,5391560
2012-12-31,42.674999,43.160000,42.674999,42.830002,10.611239,3525910
2013-01-01,43.110001,44.000000,43.110001,43.830002,10.858991,6158960
2013-01-02,44.369999,44.400002,43.689999,43.840000,10.861470,4614770
2013-01-03,44.040001,44.434998,43.914997,44.184998,10.946943,4299270
2013-01-04,44.000000,44.049999,43.154999,43.340000,10.737591,4938390
2013-01-07,43.414997,44.810001,43.060001,44.055000,10.914737,13093440
2013-01-08,43.990002,44.004997,43.024998,43.369999,10.745024,8800370
2013-01-09,43.490002,43.540001,42.114998,42.270000,10.472497,11061320
2013-01-10,42.540001,42.689999,41.820000,42.014999,10.409320,10137140
2013-01-11,42.099998,42.490002,41.555000,41.689999,10.328801,7338310
2013-01-14,41.740002,42.430000,41.325001,42.355000,10.493557,6089690
2013-01-15,42.299999,42.805000,42.119999,42.410000,10.507183,5578060
2013-01-16,42.220001,42.375000,41.360001,41.494999,10.280490,4834040
2013-01-17,41.439999,41.990002,40.919998,41.860001,10.370919,9559930
2013-01-18,42.049999,42.334999,41.310001,41.465000,10.273057,6484500
2013-01-21,41.599998,41.910000,41.200001,41.404999,10.258191,5487090
2013-01-22,41.474998,41.945000,40.754997,40.919998,10.138030,5457160
2013-01-23,41.000000,41.364998,40.310001,40.779999,10.103346,6525520
2013-01-24,40.849998,41.195000,40.279999,40.454998,10.022826,6539790
2013-01-25,40.400002,40.825001,39.844997,40.654999,10.072376,8503360
2013-01-28,40.900002,41.024998,40.480000,40.575001,10.052557,4749030
2013-01-29,40.520000,41.134998,39.709999,39.895000,9.884085,6918920
2013-01-30,40.125000,40.834999,39.974998,40.594997,10.057511,5614030
2013-01-31,40.639999,40.700001,40.169998,40.480000,10.029020,3825790
2013-02-01,40.549999,41.184998,39.980000,40.075001,9.928681,5883900
2013-02-04,40.299999,40.424999,39.410000,39.500000,9.786222,5631840
2013-02-05,39.360001,39.799999,39.200001,39.474998,9.780028,5469430
2013-02-06,39.700001,40.270000,39.614998,39.724998,9.841968,5055480
2013-02-07,39.880001,39.880001,39.000000,39.064999,9.678451,5698260
2013-02-08,39.000000,39.400002,38.500000,38.669998,9.580588,5851460
2013-02-11,39.099998,39.139999,38.474998,38.535000,9.547141,4571720
2013-02-12,38.570000,38.799999,38.224998,38.454998,9.527321,4650130
2013-02-13,38.590000,38.785000,37.524998,37.614998,9.319209,8537290
2013-02-14,37.160000,38.235001,36.820000,38.055000,9.428221,11685160
2013-02-15,37.849998,38.240002,37.209999,37.594997,9.314254,6834840
2013-02-18,37.599998,38.680000,37.450001,38.529999,9.545902,6642100
2013-02-19,38.680000,38.900002,38.035000,38.680000,9.583066,4625740
2013-02-20,38.924999,38.930000,37.864998,38.004997,9.415833,5198560
2013-02-21,37.524998,37.650002,36.320000,36.414997,9.021906,12174790
2013-02-22,36.500000,36.790001,36.084999,36.445000,9.029339,8841410
2013-02-25,36.599998,36.844997,36.004997,36.094997,8.942625,6600000
2013-02-26,36.110001,36.180000,34.884998,34.985001,8.667622,10394210
2013-02-27,35.125000,35.779999,34.639999,35.674999,8.838571,8583840
2013-02-28,35.930000,36.049999,33.880001,34.235001,8.481806,11734870
2013-03-01,34.160000,34.750000,34.080002,34.160000,8.463224,7352610
2013-03-04,34.000000,34.035000,33.355000,33.494999,8.298469,6815130
2013-03-05,33.799999,34.560001,33.400002,34.395000,8.521445,8819210
2013-03-06,34.799999,35.639999,34.314999,35.285000,8.741946,9356420
2013-03-07,35.274998,35.320000,34.459999,35.024998,8.677529,6939230
2013-03-08,35.279999,36.139999,35.204998,35.849998,8.881927,9232020
2013-03-11,35.860001,36.274998,35.480000,35.919998,8.899269,6300890
2013-03-12,36.200001,36.200001,35.220001,35.575001,8.813794,5799840
2013-03-13,35.599998,35.700001,35.099998,35.195000,8.719648,4642340
2013-03-14,35.125000,35.830002,34.660000,35.709999,8.847240,7455390
2013-03-15,35.700001,36.259998,35.340000,35.434998,8.779108,5535440
2013-03-18,34.799999,35.200001,34.625000,34.910000,8.649038,3980570
2013-03-19,35.055000,35.169998,33.860001,33.954998,8.412436,6626290
2013-03-20,34.000000,34.220001,33.279999,33.480000,8.294752,6913950
2013-03-21,33.700001,34.049999,32.500000,32.759998,8.116370,7395410
2013-03-22,32.700001,32.770000,32.070000,32.209999,7.980107,7606050
2013-03-25,32.799999,32.895000,31.350000,31.474998,7.798010,8214400
2013-03-26,31.180000,31.389999,30.500000,30.620001,7.586180,10466110
2013-03-28,30.500000,31.690001,30.084999,31.230000,7.737309,19917360
2013-04-01,31.480000,31.639999,31.049999,31.450001,7.791815,7862800
2013-04-02,31.500000,32.119999,31.334999,31.984999,7.924364,6535140
2013-04-03,31.969999,32.500000,31.549999,31.700001,7.853754,7556930
2013-04-04,31.500000,31.549999,30.320000,30.440001,7.541585,10939610
2013-04-05,30.400000,31.234999,30.320000,30.850000,7.643165,9022350
2013-04-08,31.139999,31.254999,30.500000,30.620001,7.586180,5393040
2013-04-09,30.900000,31.350000,30.370001,30.445000,7.542824,7125950
2013-04-10,30.794998,30.889999,30.014999,30.554998,7.570076,9253550
2013-04-11,30.840000,30.850000,29.799999,29.870001,7.400367,13075480
2013-04-12,29.670000,30.320000,29.514999,29.934999,7.416471,9039940
2013-04-15,29.850000,29.850000,29.384998,29.455000,7.297549,7820500
2013-04-16,29.455000,30.080000,29.270000,29.820000,7.387979,11471910
2013-04-17,30.025000,30.355000,29.624998,29.719999,7.363203,11089030
2013-04-18,29.820000,30.240000,29.400000,29.994999,7.431335,11052950
2013-04-22,30.250000,30.820000,30.100000,30.674999,7.599807,10312320
2013-04-23,30.790001,31.209999,30.605000,30.855000,7.644403,9148940
2013-04-25,31.025000,31.440001,31.004999,31.254999,7.743504,7371990
2013-04-26,31.379999,31.650000,30.404999,30.484999,7.552734,7713780
2013-04-29,30.580000,30.700001,30.115000,30.240000,7.492034,6123580
